"","Chapter","Verse_Number","Text","Text_clean"
"1",1,1,"Jawaab minni ana Buulus Rasuul Isa al-Masiih be izin Allah. Wa naktib leeku intu al-saalihiin al-fi hillit Afasus al-saabtiin fi iimaanku be l-Masiih Isa.","jawaab minni ana buulus rasuul isa almasiih be izin allah wa naktib leeku intu alsaalihiin alfi hillit afasus alsaabtiin fi iimaanku be lmasiih isa"
"2",1,2,"Aleekum al-salaam wa l-rahma min Allah Abuuna wa Rabbina Isa al-Masiih.","aleekum alsalaam wa lrahma min allah abuuna wa rabbina isa almasiih"
"3",1,3,"Khalli nachkuru Allah abu Rabbina Isa al-Masiih achaan hu baarakaana bilheen fi alaakhitna ma’a l-Masiih. Fi l-Masiih, hu antaana kulla barakaat hana mamlakatah al-samaawiiye.","khalli nachkuru allah abu rabbina isa almasiih achaan hu baarakaana bilheen fi alaakhitna maa lmasiih fi lmasiih hu antaana kulla barakaat hana mamlakatah alsamaawiiye"
"4",1,4,"Gubbaal bidaayit al-dunya, Allah ikhtaaraana fi l-Masiih. Be sabab mahabbitah, hu chaal niiye achaan nabgo saalihiin wa nahdaro giddaamah bala eeb.","gubbaal bidaayit aldunya allah ikhtaaraana fi lmasiih be sabab mahabbitah hu chaal niiye achaan nabgo saalihiin wa nahdaro giddaamah bala eeb"
"5",1,5,"Min awwal, hu khaddar leena wa chaal niiye achaan nabgo iyaalah be waasitat Isa al-Masiih. Wa di bas niiyitah al-hu radyaan beeha.","min awwal hu khaddar leena wa chaal niiye achaan nabgo iyaalah be waasitat isa almasiih wa di bas niiyitah alhu radyaan beeha"
"6",1,6,"Khalli nachkuruuh fi chaan ni’matah al-majiide al-nazzalaaha foogna be Ibnah al-yihibbah.","khalli nachkuruuh fi chaan nimatah almajiide alnazzalaaha foogna be ibnah alyihibbah"
"7",1,7,"Ibnah fadaana be dammah wa beyah hu, Allah khafar leena khataayaana. Di bas ni’matah al-aziime","ibnah fadaana be dammah wa beyah hu allah khafar leena khataayaana di bas nimatah alaziime"
"8",1,8,"al-nazzalaaha foogna be katara. Wa Allah al-aalim wa ya’arif kulla cheyy","alnazzalaaha foogna be katara wa allah alaalim wa yaarif kulla cheyy"
"9",1,9,"bayyan leena sirr hana muraadtah al-hu radyaan beeha wa chaal niiye achaan yitammimha fi l-Masiih.","bayyan leena sirr hana muraadtah alhu radyaan beeha wa chaal niiye achaan yitammimha fi lmasiih"
"10",1,10,"Wa daahu hadaf Allah, fi l-wakit al-hu haddadah, hu yidoor yilimm kulla cheyy al-fi l-samaawaat wa kulla cheyy al-fi l-ard wa yukhuttuhum tihit ra’iis waahid wa l-ra’iis da, hu al-Masiih.","wa daahu hadaf allah fi lwakit alhu haddadah hu yidoor yilimm kulla cheyy alfi lsamaawaat wa kulla cheyy alfi lard wa yukhuttuhum tihit raiis waahid wa lraiis da hu almasiih"
"11",1,11,"Wa be alaakhitna ma’a l-Masiih, Allah ja’alaana cha’abah halaalah. Allah ikhtaaraana min awwal hasab nizaamah. Hu yisawwi kulla cheyy hasab niiyitah wa muraadtah.","wa be alaakhitna maa lmasiih allah jaalaana chaabah halaalah allah ikhtaaraana min awwal hasab nizaamah hu yisawwi kulla cheyy hasab niiyitah wa muraadtah"
"12",1,12,"Wa Allah ikhtaaraana aniina al-bigiina al-awwalaaniyiin al-khatteena achamna fi l-Masiih le nachkuruuh wa nimajjuduuh.","wa allah ikhtaaraana aniina albigiina alawwalaaniyiin alkhatteena achamna fi lmasiih le nachkuruuh wa nimajjuduuh"
"13",1,13,"Wa intu kula, simi’tu kalaam al-hagg fi bichaarat al-Masiih al-beeha nijiitu wa bigiitu mu’miniin be l-Masiih. Wa be sabab alaakhitku ma’a l-Masiih, Allah nazzal foogku al-Ruuh al-Khudduus al-waa’adaana beyah wa hu al-wasim al-Allah khattah foogku.","wa intu kula simitu kalaam alhagg fi bichaarat almasiih albeeha nijiitu wa bigiitu muminiin be lmasiih wa be sabab alaakhitku maa lmasiih allah nazzal foogku alruuh alkhudduus alwaaadaana beyah wa hu alwasim alallah khattah foogku"
"14",1,14,"Wa l-Ruuh al-Khudduus yi’akkid leena kadar nalgo gisimna min al-warasa al-waa’adaana beeha. Wa hu gaa’id foogna lahaddi l-yoom al-Allah yichiil cha’abah halaalah fi majdah. Wa achaan da, nachkuruuh wa nimajjuduuh.","wa lruuh alkhudduus yiakkid leena kadar nalgo gisimna min alwarasa alwaaadaana beeha wa hu gaaid foogna lahaddi lyoom alallah yichiil chaabah halaalah fi majdah wa achaan da nachkuruuh wa nimajjuduuh"
"15",1,15,"Ana simi’t iimaanku be Rabbina Isa gawi wa tihibbu katiir kulla l-saalihiin. Wa achaan da,","ana simit iimaanku be rabbina isa gawi wa tihibbu katiir kulla lsaalihiin wa achaan da"
"16",1,16,"nachkur Allah daayman fi chaanku wa nas’al leeku Allah fi ayyi wakit nisalli.","nachkur allah daayman fi chaanku wa nasal leeku allah fi ayyi wakit nisalli"
"17",1,17,"Wa nad’i Allah Abuuna al-majiid al-rassal Rabbina Isa al-Masiih wa nas’alah leeku kadar hu yantiiku be l-Ruuh al-Khudduus fikir adiil wa irfe achaan ta’arfu Allah be ziyaada.","wa nadi allah abuuna almajiid alrassal rabbina isa almasiih wa nasalah leeku kadar hu yantiiku be lruuh alkhudduus fikir adiil wa irfe achaan taarfu allah be ziyaada"
"18",1,18,"Khalli nuur Allah yadkhul fi guluubku achaan ta’arfu tamaam al-baraka al-Allah naadaaku le talgooha wa battaan ta’arfu kubur al-baraka al-majiide al-gaa’ide fi usut naasah al-saalihiin.","khalli nuur allah yadkhul fi guluubku achaan taarfu tamaam albaraka alallah naadaaku le talgooha wa battaan taarfu kubur albaraka almajiide algaaide fi usut naasah alsaalihiin"
"19",1,19,"Wa ta’arfu gudurtah al-ma indaha hadd al-gaa’ide takhdim leena aniina al-mu’miniin. Al-gudra di aziime wa hi al-gudra","wa taarfu gudurtah alma indaha hadd algaaide takhdim leena aniina almuminiin algudra di aziime wa hi algudra"
"20",1,20,"al-Allah bayyanha fi l-Masiih wakit ba’asah min ust al-maytiin wa rafa’ah foog fi l-samaawaat wa ga’’adah fi nussah al-zeenaay.","alallah bayyanha fi lmasiih wakit baasah min ust almaytiin wa rafaah foog fi lsamaawaat wa gaadah fi nussah alzeenaay"
"21",1,21,"Al-Masiih gaa’id fi bakaan aali bilheen foog min kulla l-hukkaam wa l-kubaaraat wa foog min kulla cheyy al-indah gudra walla muluk. Usmah aali min kulla usum al-naas yatruuh, ma fi l-zaman al-haadir bas laakin fi l-aakhira kula.","almasiih gaaid fi bakaan aali bilheen foog min kulla lhukkaam wa lkubaaraat wa foog min kulla cheyy alindah gudra walla muluk usmah aali min kulla usum alnaas yatruuh ma fi lzaman alhaadir bas laakin fi laakhira kula"
"22",1,22,"Wa Allah khatta kulla cheyy tihit muluk al-Masiih wa ja’alah ra’iis fi kulla cheyy le faaydit ummatah.","wa allah khatta kulla cheyy tihit muluk almasiih wa jaalah raiis fi kulla cheyy le faaydit ummatah"
"23",1,23,"Wa ummatah hi jismah wa hi malaane be gudrat al-Masiih wa l-Masiih gudurtah tamla kulla cheyy.","wa ummatah hi jismah wa hi malaane be gudrat almasiih wa lmasiih gudurtah tamla kulla cheyy"
